Filename,Original File Size (bytes),Compressed File Size (bytes),Compression Ratio,% of Original,Time Elapsed (seconds),Effort
0863.png,9180000,3240326,2.8330482797101277,0.35297668845315905,0.18721485137939453,1
0863.png,9180000,2980614,3.0799023288490224,0.32468562091503267,0.8738052845001221,2
0863.png,9180000,2613672,3.512299936640864,0.2847137254901961,1.0393927097320557,3
0863.png,9180000,2581941,3.5554646678603423,0.2812571895424837,2.3907663822174072,4
0863.png,9180000,2783810,3.297638847478815,0.30324727668845314,3.530730962753296,5
0863.png,9180000,2766966,3.317713336557081,0.3014124183006536,4.599188566207886,6
0863.png,9180000,2743032,3.346661650319792,0.29880522875816995,6.512653112411499,7
0863.png,9180000,2714012,3.3824463561693907,0.29564400871459695,13.287576913833618,8
0863.png,9180000,2605611,3.523165967598387,0.28383562091503267,36.61333465576172,9
0855.png,12484800,4923966,2.5355171014584585,0.3943968665897732,0.28984689712524414,1
0855.png,12484800,4786845,2.6081479554905163,0.383413831218762,1.1159887313842773,2
0855.png,12484800,4293619,2.907756836365779,0.34390771177752144,1.3358521461486816,3
0855.png,12484800,4230183,2.9513616786791492,0.33882665321030375,2.796050548553467,4
0855.png,12484800,4234623,2.9482671775031686,0.33918228565936176,3.4177725315093994,5
0855.png,12484800,4210322,2.965283890400782,0.33723583877995644,5.069174766540527,6
0855.png,12484800,4184206,2.9837919069950187,0.33514401512238884,8.002868890762329,7
0855.png,12484800,4158393,3.002313634137033,0.3330764609765475,17.31631827354431,8
0855.png,12484800,4101565,3.0439112875207393,0.3285246860181981,51.876391649246216,9
0868.png,8298720,1202180,6.903059442013675,0.14486330422040988,0.12408804893493652,1
0868.png,8298720,1077062,7.704960345829674,0.1297865212948503,0.35549306869506836,2
0868.png,8298720,892644,9.296785728689153,0.10756405807160623,0.4837150573730469,3
0868.png,8298720,861869,9.628748684544867,0.10385565484797656,1.3561382293701172,4
0868.png,8298720,862097,9.62620215590589,0.1038831289644668,1.9263720512390137,5
0868.png,8298720,847237,9.79503964062004,0.10209249137216342,2.081862211227417,6
0868.png,8298720,819869,10.122007296287578,0.09879463338924557,2.583189010620117,7
0868.png,8298720,800156,10.371377581371632,0.0964192068174369,5.695798397064209,8
0868.png,8298720,781108,10.62429267143596,0.09412391308539148,18.040632247924805,9
0893.png,8298720,3401176,2.4399560622561136,0.4098434457362099,0.1479640007019043,1
0893.png,8298720,3205485,2.5889124422669267,0.38626258025334026,0.6723921298980713,2
0893.png,8298720,2945120,2.8177867115771176,0.35488846472709046,0.8952591419219971,3
0893.png,8298720,2903948,2.8577371220145817,0.349927217691403,1.770211935043335,4
0893.png,8298720,2870285,2.8912529592009157,0.3458708089922301,2.3826894760131836,5
0893.png,8298720,2854293,2.907452038035338,0.34394376482156286,3.4824864864349365,6
0893.png,8298720,2827943,2.934542881522011,0.3407685763587638,5.47773289680481,7
0893.png,8298720,2816723,2.9462321996163627,0.33941656062621706,11.668331861495972,8
0893.png,8298720,2771145,2.9946899205923905,0.3339243883394066,33.531861543655396,9
0849.png,8298720,4628349,1.793019497881426,0.5577184192260976,0.21431326866149902,1
0849.png,8298720,4436108,1.8707209112131624,0.5345532805059093,0.6157994270324707,2
0849.png,8298720,3911142,2.121815060665146,0.4712946092891434,1.006720781326294,3
0849.png,8298720,3921132,2.1164092410048934,0.4724984093932558,2.8239080905914307,4
0849.png,8298720,3869401,2.1447040510921456,0.46626479746274124,4.788748264312744,5
0849.png,8298720,3836206,2.1632623482680544,0.4622647830026799,7.152219533920288,6
0849.png,8298720,3811132,2.1774947705825984,0.4592433531918175,9.31563425064087,7
0849.png,8298720,3792017,2.188471201474044,0.4569399859255403,16.358266353607178,8
0849.png,8298720,3781695,2.194444554624315,0.4556961796518017,49.09243440628052,9
0823.png,7858080,3530375,2.225848528839004,0.44926686926068454,0.17231464385986328,1
0823.png,7858080,3330103,2.359710795732144,0.42378074542381855,0.48227691650390625,2
0823.png,7858080,2943561,2.6695828623901456,0.3745903579500336,0.6943731307983398,3
0823.png,7858080,2922537,2.688787173609778,0.3719148952415857,1.8802170753479004,4
0823.png,7858080,3031726,2.591949272460638,0.3858100197503716,2.8603756427764893,5
0823.png,7858080,2997642,2.62142043646306,0.38147257345305724,3.788677215576172,6
0823.png,7858080,2978486,2.6382799852005347,0.3790348278459878,5.698027610778809,7
0823.png,7858080,2939415,2.6733482682778718,0.3740627481522204,11.499183177947998,8
0823.png,7858080,2834960,2.771848632784942,0.3607700608800114,40.53512382507324,9
0899.png,8298720,3556954,2.3330973636431622,0.42861477432664313,0.1746680736541748,1
0899.png,8298720,3343528,2.4820249748170196,0.4028968322825689,0.4973592758178711,2
0899.png,8298720,2781252,2.9838072925430703,0.3351422870032969,0.6767482757568359,3
0899.png,8298720,2782764,2.982186056740708,0.3353244837758112,2.1270575523376465,4
0899.png,8298720,2745435,3.0227341022460923,0.33082632020359765,3.004967451095581,5
0899.png,8298720,2691321,3.0835117773019274,0.32430555555555557,3.9094181060791016,6
0899.png,8298720,2631633,3.1534488281610695,0.3171131210596333,6.2111406326293945,7
0899.png,8298720,2610153,3.179399828285928,0.31452477008502516,13.893009424209595,8
0899.png,8298720,2554047,3.2492432598147176,0.3077639684192261,39.53722262382507,9
0876.png,8298720,4824436,1.7201430384815966,0.5813470029112924,0.1881561279296875,1
0876.png,8298720,4507787,1.8409742962566775,0.5431906366282993,0.40627408027648926,2
0876.png,8298720,4173008,1.9886662091230114,0.5028495960822874,0.607534646987915,3
0876.png,8298720,4171552,1.989360314818082,0.5026741473383847,2.216590166091919,4
0876.png,8298720,4074487,2.036752111370094,0.4909777652457246,3.4965686798095703,5
0876.png,8298720,4018302,2.0652305376748687,0.48420744403956273,5.12861967086792,6
0876.png,8298720,4009307,2.0698639440681394,0.48312354194381785,6.597671031951904,7
0876.png,8298720,3983614,2.0832138856826994,0.4800275223166946,12.562598466873169,8
0876.png,8298720,3947840,2.1020912701629246,0.47571673703896505,42.426435232162476,9
0897.png,8372160,5125681,1.6333751554183726,0.6122292216106716,0.18138384819030762,1
0897.png,8372160,4893893,1.7107362175674867,0.5845436542063219,0.6069285869598389,2
0897.png,8372160,4447575,1.88241007740173,0.531233875128999,1.0479750633239746,3
0897.png,8372160,4435007,1.887744483830578,0.5297327093605473,2.0246036052703857,4
0897.png,8372160,4327092,1.9348236644841386,0.5168429652562779,3.236403703689575,5
0897.png,8372160,4304258,1.9450878641568419,0.5141155926308145,5.169540882110596,6
0897.png,8372160,4293760,1.9498434938142792,0.5128616748843787,6.5600502490997314,7
0897.png,8372160,4286899,1.9529641356141116,0.5120421731070596,12.025975942611694,8
0897.png,8372160,4269533,1.9609076683562348,0.5099679174788824,42.14341974258423,9
0886.png,8298720,3008674,2.7582649366465093,0.3625467541982378,0.1706840991973877,1
0886.png,8298720,2821331,2.9414202020252143,0.3399718269805464,0.6335475444793701,2
0886.png,8298720,2474505,3.353688919602102,0.29817911677945513,0.7244577407836914,3
0886.png,8298720,2423666,3.424036150195613,0.29205299130468315,1.686615228652954,4
0886.png,8298720,2371432,3.499455181510581,0.28575876761717467,2.278870105743408,5
0886.png,8298720,2322443,3.573271765980909,0.2798555680876087,2.9974634647369385,6
0886.png,8298720,2276233,3.6458130604380132,0.2742872394778954,4.709444761276245,7
0886.png,8298720,2261214,3.670028577569394,0.2724774423043554,10.690171241760254,8
0886.png,8298720,2217780,3.7419040662283907,0.267243623112962,33.618757486343384,9
0807.png,6903360,5117832,1.3488836679281384,0.7413537755527743,0.14671039581298828,1
0807.png,6903360,4972516,1.388303225168104,0.7203037361516711,0.38423585891723633,2
0807.png,6903360,4636392,1.4889508911239602,0.6716138228340982,0.7272200584411621,3
0807.png,6903360,4655176,1.4829428575847616,0.6743348166689844,1.8179972171783447,4
0807.png,6903360,4531826,1.5233064994110541,0.6564667060677699,2.922482967376709,5
0807.png,6903360,4474428,1.542847487991761,0.6481522041440689,4.349118232727051,6
0807.png,6903360,4426359,1.559602372966133,0.6411890731469893,5.541028261184692,7
0807.png,6903360,4371388,1.579214656763481,0.6332261391554258,9.186388969421387,8
0807.png,6903360,4313887,1.600264448280634,0.6248967169610161,41.74990630149841,9
0891.png,10208160,4817748,2.1188654948328556,0.4719506747543142,0.2614731788635254,1
0891.png,10208160,4596799,2.220710542270828,0.4503063235685961,0.64695143699646,2
0891.png,10208160,4143552,2.46362541124137,0.40590586354445857,1.1260206699371338,3
0891.png,10208160,4142415,2.464301621155775,0.4057944820614097,2.433218479156494,4
0891.png,10208160,4125565,2.4743665413100993,0.4041438417893137,3.191723346710205,5
0891.png,10208160,4076727,2.504008730533097,0.39935962994310437,5.0228188037872314,6
0891.png,10208160,4059144,2.514855348812459,0.39763718437015094,7.32964825630188,7
0891.png,10208160,4028889,2.533740691292314,0.3946733789439037,15.822482347488403,8
0891.png,10208160,3987007,2.5603566785812015,0.3905705827494867,59.464638471603394,9
0861.png,8298720,3886283,2.135387464062705,0.46829908708812923,0.15888142585754395,1
0861.png,8298720,3599307,2.3056438364385143,0.43371833246572966,0.41208386421203613,2
0861.png,8298720,3242867,2.5590688733148785,0.3907671303526327,0.4703788757324219,3
0861.png,8298720,3244766,2.557571177705881,0.3909959608228739,1.8796377182006836,4
0861.png,8298720,3181432,2.6084857384976323,0.3833641814641294,3.073498487472534,5
0861.png,8298720,3151402,2.633342239422327,0.3797455511211367,4.483184814453125,6
0861.png,8298720,3135861,2.6463928088649338,0.3778728526808954,5.880203008651733,7
0861.png,8298720,3121947,2.6581873427063303,0.3761962085719243,12.045573711395264,8
0861.png,8298720,3089548,2.686062815661061,0.3722921125185571,41.11923575401306,9
0844.png,8298720,2027968,4.0921355761037645,0.24437118013380377,0.1375124454498291,1
0844.png,8298720,1827013,4.542233689634393,0.22015599996143984,0.39078402519226074,2
0844.png,8298720,1590918,5.216309074383469,0.19170643183527097,0.4220771789550781,3
0844.png,8298720,1567893,5.292912207657028,0.1889319075712881,1.5334961414337158,4
0844.png,8298720,1673897,4.957724400007886,0.20170544373108143,2.153930902481079,5
0844.png,8298720,1656429,5.010006465716309,0.19960054080629303,2.7632367610931396,6
0844.png,8298720,1609462,5.156207478026819,0.19394099330981163,3.7357945442199707,7
0844.png,8298720,1581722,5.246636260986444,0.19059830913683073,9.757511854171753,8
0844.png,8298720,1487699,5.5782251651711805,0.1792684895983959,27.892452478408813,9
0880.png,8298720,3028841,2.739899519321087,0.3649768880020051,0.15577912330627441,1
0880.png,8298720,2783694,2.9811897428381138,0.33543654925096883,0.5653378963470459,2
0880.png,8298720,2388864,3.47391898408616,0.2878593325235699,0.880617618560791,3
0880.png,8298720,2370827,3.500348190736819,0.2856858648080668,1.8827028274536133,4
0880.png,8298720,2373286,3.496721423376702,0.2859821755644244,2.2989959716796875,5
0880.png,8298720,2352517,3.527591936636377,0.2834795004530819,3.204071521759033,6
0880.png,8298720,2327726,3.5651618790184068,0.2804921722868105,4.421884775161743,7
0880.png,8298720,2320129,3.576835598365436,0.2795767299053348,11.355127573013306,8
0880.png,8298720,2248791,3.690302922770502,0.2709804644571693,35.13822388648987,9
0813.png,8959680,2977613,3.0090142674686065,0.33233474856244866,0.15594840049743652,1
0813.png,8959680,2886715,3.103763274171506,0.3221895201614343,0.41568660736083984,2
0813.png,8959680,2452328,3.6535406356735316,0.27370709668202436,0.42807698249816895,3
0813.png,8959680,2432793,3.682878074706726,0.27152677327761704,1.8563499450683594,4
0813.png,8959680,2391413,3.7466050406182454,0.26690830476088434,2.735758066177368,5
0813.png,8959680,2349947,3.8127157761430364,0.26228023768706027,3.4983325004577637,6
0813.png,8959680,2317111,3.8667461334394426,0.25861537465623774,5.1389336585998535,7
0813.png,8959680,2301701,3.892634186629801,0.2568954471588271,10.891541004180908,8
0813.png,8959680,2233292,4.011871264483104,0.2492602414371942,37.894368171691895,9
0818.png,9400320,3944225,2.3833123110370225,0.41958412054057737,0.19902944564819336,1
0818.png,9400320,3657702,2.5700070700128115,0.3891039879493464,0.44257545471191406,2
0818.png,9400320,3110226,3.0223912988959647,0.3308638429330065,0.5117223262786865,3
0818.png,9400320,3097978,3.034340463360295,0.3295609085648148,1.9622867107391357,4
0818.png,9400320,3096170,3.0361123581715472,0.3293685746868192,3.2433600425720215,5
0818.png,9400320,3042813,3.0893518596114844,0.32369249131944444,4.399689435958862,6
0818.png,9400320,3019387,3.1133206839666463,0.3212004484953704,6.2483296394348145,7
0818.png,9400320,2994818,3.1388618607207515,0.31858681406590417,13.87947392463684,8
0818.png,9400320,2940447,3.1969016955585325,0.3128028620302288,43.91049599647522,9
0836.png,9400320,3726943,2.522260200920701,0.39646980102805013,0.16416072845458984,1
0836.png,9400320,3545687,2.651198484242969,0.37718790424155774,0.39475393295288086,2
0836.png,9400320,3136359,2.9972079089160393,0.3336438546772876,0.5006661415100098,3
0836.png,9400320,3101028,3.031356053540955,0.32988536560457515,1.9982678890228271,4
0836.png,9400320,3150832,2.983440564270009,0.3351834831154684,2.9714150428771973,5
0836.png,9400320,3121553,3.0114241212627175,0.3320688019131264,4.485890865325928,6
0836.png,9400320,3092849,3.0393724362230423,0.32901528884123094,6.295269966125488,7
0836.png,9400320,3062987,3.0690042105957356,0.3258385884735839,13.238481998443604,8
0836.png,9400320,3012962,3.1199596941481507,0.32051696112472766,42.11999988555908,9
0819.png,8298720,4114198,2.017093003302223,0.49576296103495476,0.19488096237182617,1
0819.png,8298720,3883264,2.1370475970729776,0.46793529604565526,0.5815138816833496,2
0819.png,8298720,3428986,2.4201673614298804,0.4131945649449554,0.8625962734222412,3
0819.png,8298720,3410965,2.432953724239328,0.411023025237627,1.7531511783599854,4
0819.png,8298720,3396157,2.4435619436910603,0.40923865367189155,2.3502347469329834,5
0819.png,8298720,3379923,2.455298537866099,0.4072824483775811,3.953873634338379,6
0819.png,8298720,3369088,2.4631947874320885,0.40597682534173946,5.6695122718811035,7
0819.png,8298720,3348176,2.478579381729037,0.40345691865733513,12.570149660110474,8
0819.png,8298720,3325504,2.495477377263717,0.40072493107370777,36.07031059265137,9
0869.png,8298720,3486824,2.3800226223061447,0.42016407349567164,0.17042994499206543,1
0869.png,8298720,3308496,2.5083058888389167,0.3986754583839435,0.5707106590270996,2
0869.png,8298720,2796513,2.967524198886256,0.33698124530048007,0.7135026454925537,3
0869.png,8298720,2771245,2.9945818576127334,0.3339364383904988,1.6774792671203613,4
0869.png,8298720,2801216,2.962541981767918,0.337547959203347,2.2494540214538574,5
0869.png,8298720,2776154,2.9892866173850585,0.3345279753986157,3.0955238342285156,6
0869.png,8298720,2750501,3.01716669072289,0.33143677579192937,4.770066499710083,7
0869.png,8298720,2734824,3.0344621811129344,0.32954768928220257,11.692569017410278,8
0869.png,8298720,2681858,3.0943920222472627,0.3231652592206991,35.9589204788208,9
0809.png,8298720,3405182,2.4370855948375154,0.41032617078296413,0.19926929473876953,1
0809.png,8298720,3214432,2.5817065036684554,0.3873406983245609,0.4012136459350586,2
0809.png,8298720,2851711,2.910084507160789,0.3436326325023618,0.7120277881622314,3
0809.png,8298720,2814580,2.9484754386089578,0.33915832803131085,1.6022236347198486,4
0809.png,8298720,2794751,2.969395126793049,0.33676892340023523,2.6186683177948,5
0809.png,8298720,2782667,2.9822900117045985,0.33531279522625174,3.656097650527954,6
0809.png,8298720,2753261,3.014142139085252,0.3317693572020745,5.069629192352295,7
0809.png,8298720,2739491,3.0292926678715135,0.3301100651666763,12.626206874847412,8
0809.png,8298720,2724611,3.0458366350278996,0.3283170175641545,35.00055551528931,9
0820.png,8298720,3905985,2.124616453980238,0.4706731881543178,0.2243051528930664,1
0820.png,8298720,3682697,2.2534354577636986,0.4437668700715291,0.6264915466308594,2
0820.png,8298720,3391737,2.446746313172277,0.4087060414136156,0.841280460357666,3
0820.png,8298720,3361440,2.4687990861059546,0.40505523743420674,1.7847654819488525,4
0820.png,8298720,3342359,2.482893070433188,0.4027559671853009,2.5534329414367676,5
0820.png,8298720,3321210,2.4987037856684764,0.40020750187980797,3.711967706680298,6
0820.png,8298720,3292316,2.520632891860927,0.3967257601172229,5.7280473709106445,7
0820.png,8298720,3274406,2.5344199833496517,0.3945675959666069,12.960523843765259,8
0820.png,8298720,3243582,2.5585047641773815,0.390853288217942,37.65983462333679,9
0884.png,8298720,4300651,1.9296427447844524,0.5182306427979254,0.19736123085021973,1
0884.png,8298720,4079697,2.0341510656306094,0.49160557290762913,0.44391679763793945,2
0884.png,8298720,3769360,2.201625740178704,0.4542098058495768,0.4834887981414795,3
0884.png,8298720,3767320,2.202817918307975,0.4539639848072956,2.0995140075683594,4
0884.png,8298720,3629685,2.286347162357064,0.4373788969865232,2.9191718101501465,5
0884.png,8298720,3606031,2.3013446085183404,0.4345285779011703,4.426312685012817,6
0884.png,8298720,3594761,2.3085595954779747,0.43317053714307746,6.135554552078247,7
0884.png,8298720,3583190,2.3160145010451583,0.4317762257311971,13.018378973007202,8
0884.png,8298720,3553099,2.335628700466832,0.4281502448570382,44.35917663574219,9
0895.png,7858080,4929143,1.5942081615404544,0.6272706564453403,0.1985616683959961,1
0895.png,7858080,4616718,1.7020922655444841,0.5875122167246961,0.7086734771728516,2
0895.png,7858080,4333391,1.8133789450340392,0.551456717162462,0.7713725566864014,3
0895.png,7858080,4313623,1.8216890998587498,0.548941089935455,1.8688311576843262,4
0895.png,7858080,4281720,1.835262464617023,0.5448811923523303,2.7777163982391357,5
0895.png,7858080,4275074,1.8381155507483613,0.5440354386822226,4.596447944641113,6
0895.png,7858080,4270216,1.8402066780696809,0.5434172215095799,5.782456874847412,7
0895.png,7858080,4255502,1.8465694529106085,0.5415447539348034,10.798182725906372,8
0895.png,7858080,4260489,1.8444080010534003,0.5421793873312565,38.63965606689453,9
0815.png,8298720,3718245,2.231891658564726,0.44805042223379027,0.17343544960021973,1
0815.png,8298720,3507626,2.365907881855135,0.42267072512387455,0.34311890602111816,2
0815.png,8298720,3194487,2.597825566358542,0.3849373156342183,0.5825624465942383,3
0815.png,8298720,3154420,2.6308227820011285,0.38010922166309985,1.8839921951293945,4
0815.png,8298720,3133943,2.6480124239655924,0.37764173270094664,2.5475351810455322,5
0815.png,8298720,3122455,2.6577548755706646,0.3762574228314728,3.7997944355010986,6
0815.png,8298720,3110268,2.6681687880272698,0.37478888310486436,5.580331087112427,7
0815.png,8298720,3097082,2.679528666015301,0.37319996336784467,12.561030626296997,8
0815.png,8298720,3065455,2.7071739758045705,0.3693888937089093,34.426593542099,9
0888.png,8298720,3567946,2.3259096410091407,0.4299393159426996,0.15861773490905762,1
0888.png,8298720,3342294,2.482941357043994,0.4027481346520909,0.35549283027648926,2
0888.png,8298720,3020405,2.747552066693043,0.36396034569186575,0.584909200668335,3
0888.png,8298720,3009562,2.7574510842441526,0.36265375865193666,1.9690117835998535,4
0888.png,8298720,2985789,2.779406046441996,0.359789100005784,2.7640252113342285,5
0888.png,8298720,2946329,2.8166304577662578,0.35503414984479537,4.136328935623169,6
0888.png,8298720,2898916,2.862697642843049,0.3493208591204427,5.785023212432861,7
0888.png,8298720,2884504,2.877000690586666,0.3475842057570324,12.617681980133057,8
0888.png,8298720,2858327,2.903348707128331,0.34442986388262287,37.59875416755676,9
0889.png,8298720,4005870,2.0716398684929866,0.4827093816877784,0.15773224830627441,1
0889.png,8298720,3865380,2.146935100818031,0.4657802649083232,0.41843605041503906,2
0889.png,8298720,3385894,2.4509686363483323,0.4080019569282974,0.6270315647125244,3
0889.png,8298720,3365887,2.465537316018036,0.4055911032062776,1.7891087532043457,4
0889.png,8298720,3323854,2.4967161614198456,0.40052610523068616,2.9763519763946533,5
0889.png,8298720,3295115,2.5184917673586504,0.39706304104729406,4.383339881896973,6
0889.png,8298720,3265119,2.541628651206893,0.3934485077216727,6.135968923568726,7
0889.png,8298720,3243327,2.5587059214195795,0.3908225605876569,13.235382080078125,8
0889.png,8298720,3229170,2.569923540724087,0.3891166348545318,38.515095710754395,9
0830.png,4993920,2563308,1.9482325182927687,0.5132857554786621,0.1295607089996338,1
0830.png,4993920,2397345,2.083104434280423,0.48005274413687044,0.3636288642883301,2
0830.png,4993920,2237505,2.2319145655540433,0.44804582372164553,0.4668850898742676,3
0830.png,4993920,2209527,2.2601760467285534,0.4424434111880046,1.1253836154937744,4
0830.png,4993920,2195744,2.274363495926665,0.43968345508137896,1.5012619495391846,5
0830.png,4993920,2188450,2.2819438415316777,0.4382228790208894,2.262030839920044,6
0830.png,4993920,2176612,2.2943547127370425,0.43585239651416124,3.0708391666412354,7
0830.png,4993920,2147817,2.3251142904632935,0.43008638504421376,6.743093729019165,8
0830.png,4993920,2116709,2.3592850977626116,0.42385721036780727,22.57072901725769,9
0854.png,6536160,3203822,2.0401133396299795,0.49016884531590416,0.12517690658569336,1
0854.png,6536160,2999543,2.1790519422458687,0.4589151734351668,0.3220834732055664,2
0854.png,6536160,2708061,2.4135940807832617,0.41431987589043107,0.4973437786102295,3
0854.png,6536160,2686763,2.4327266677410697,0.41106138772612666,1.4782476425170898,4
0854.png,6536160,2665261,2.452352696415098,0.40777168857555507,2.199082374572754,5
0854.png,6536160,2655794,2.4610944975400955,0.40632328461971556,2.993128538131714,6
0854.png,6536160,2645105,2.471039902007671,0.40468792073633447,4.262090444564819,7
0854.png,6536160,2638553,2.4771759369624182,0.4036854972950479,9.383126497268677,8
0854.png,6536160,2615110,2.4993824351556913,0.40009883478984604,30.58049988746643,9
0812.png,9400320,4162155,2.258522327976733,0.442767373876634,0.2357802391052246,1
0812.png,9400320,3853696,2.4392998306041784,0.4099537037037037,0.628054141998291,2
0812.png,9400320,3586111,2.6213131718454896,0.3814881833809913,0.8875229358673096,3
0812.png,9400320,3555797,2.6436604789306024,0.3782633995438453,1.956237554550171,4
0812.png,9400320,3542262,2.6537619182319094,0.37682355494281045,2.793231725692749,5
0812.png,9400320,3522211,2.668869071160132,0.37469054244961875,4.018677234649658,6
0812.png,9400320,3502925,2.6835630223313376,0.37263891016476036,6.030371904373169,7
0812.png,9400320,3474152,2.705788347775227,0.36957805691721135,14.254699945449829,8
0812.png,9400320,3428842,2.741543646513896,0.3647580082380174,41.3226797580719,9
0892.png,7858080,3492392,2.250056694666578,0.44443324578013965,0.18918514251708984,1
0892.png,7858080,3281171,2.3949010886662108,0.41755377904017266,0.32013583183288574,2
0892.png,7858080,2890957,2.7181587273695182,0.3678961018467615,0.4020111560821533,3
0892.png,7858080,2870131,2.737881999114326,0.36524583613299944,1.6923549175262451,4
0892.png,7858080,2807104,2.79935477987278,0.35722517459735714,2.215256690979004,5
0892.png,7858080,2741441,2.866404930837468,0.3488690621627675,3.3087897300720215,6
0892.png,7858080,2661676,2.9523052392552662,0.338718363773339,5.092093229293823,7
0892.png,7858080,2621209,2.997883800948341,0.33356863254128233,11.661101818084717,8
0892.png,7858080,2548681,3.0831947976227703,0.32433889703337204,36.321197748184204,9
0814.png,8298720,2490644,3.3319575178146694,0.300123874525228,0.14403152465820312,1
0814.png,8298720,2356548,3.5215578040421835,0.2839652380126092,0.39133334159851074,2
0814.png,8298720,1908850,4.347497184168478,0.23001740027377715,0.43657875061035156,3
0814.png,8298720,1880257,4.413609416159599,0.22657192916497965,1.5016975402832031,4
0814.png,8298720,2265898,3.662441998713093,0.2730418666975148,2.1786863803863525,5
0814.png,8298720,2223600,3.7321100917431194,0.26794493608652903,2.9149467945098877,6
0814.png,8298720,2174205,3.816898590519293,0.2619928133495286,3.8852977752685547,7
0814.png,8298720,2083657,3.9827668373441503,0.2510817330865483,7.783062934875488,8
0814.png,8298720,1959539,4.235036914294637,0.23612545067191085,29.575547218322754,9
0802.png,8298720,3719410,2.2311925816191276,0.4481908053290146,0.16629314422607422,1
0802.png,8298720,3515312,2.360734978858207,0.4235968920508223,0.35126328468322754,2
0802.png,8298720,3163750,2.6230644014223627,0.3812334914300037,0.7635598182678223,3
0802.png,8298720,3156094,2.629427387143729,0.3803109395183836,1.8456957340240479,4
0802.png,8298720,3125887,2.6548368511081812,0.3766709805849577,3.1028800010681152,5
