Filename,Original File Size (bytes),Compressed File Size (bytes),Compression Ratio,Time Elapsed (seconds),Effort
kodim13.png,2468136,677019,0.2743037660809615,0.026190519332885742,1
kodim13.png,2468136,628246,0.25454269942985314,0.02587294578552246,2
kodim13.png,2468136,577164,0.2338461089664427,0.030072450637817383,3
kodim13.png,2468136,574749,0.23286763776388336,0.29493165016174316,4
kodim13.png,2468136,571608,0.23159501745446767,0.34937047958374023,5
kodim13.png,2468136,563975,0.2285024001918857,0.3657667636871338,6
kodim13.png,2468136,560152,0.22695345799421102,0.5524806976318359,7
kodim13.png,2468136,560844,0.22723383152306031,1.4625670909881592,8
kodim13.png,2468136,554296,0.22458081726452675,9.632177352905273,9
kodim18.png,2342841,615004,0.26250351603032385,0.023777484893798828,1
kodim18.png,2342841,581448,0.24818073441603591,0.025867462158203125,2
kodim18.png,2342841,534620,0.2281930357203071,0.03187823295593262,3
kodim18.png,2342841,528477,0.22557100545875713,0.3205573558807373,4
kodim18.png,2342841,528251,0.22547454137946193,0.35570311546325684,5
kodim18.png,2342841,522826,0.22315897664416834,0.3911886215209961,6
kodim18.png,2342841,522292,0.22293104824441778,0.5845599174499512,7
kodim18.png,2342841,520365,0.22210854257715312,1.5321242809295654,8
kodim18.png,2342841,516892,0.22062615431435595,7.887507677078247,9
kodim20.png,1477386,516040,0.3492926019334148,0.02102041244506836,1
kodim20.png,1477386,479029,0.32424092281908723,0.02331233024597168,2
kodim20.png,1477386,434371,0.29401320981788104,0.0319066047668457,3
kodim20.png,1477386,423576,0.2867063854673051,0.31659674644470215,4
kodim20.png,1477386,347363,0.23512000249088594,0.36976099014282227,5
kodim20.png,1477386,337725,0.22859631809154818,0.37304091453552246,6
kodim20.png,1477386,335396,0.22701988512142393,0.4848341941833496,7
kodim20.png,1477386,334869,0.2266631740113958,1.1025543212890625,8
kodim20.png,1477386,327223,0.22148781699569375,5.741318464279175,9
kodim14.png,2076603,584923,0.28167300153182867,0.026101350784301758,1
kodim14.png,2076603,546163,0.2630079028105035,0.027005910873413086,2
kodim14.png,2076603,496745,0.23921038349650847,0.032356977462768555,3
kodim14.png,2076603,488814,0.23539116528291637,0.29909348487854004,4
kodim14.png,2076603,481262,0.23175445667756428,0.34656691551208496,5
kodim14.png,2076603,472699,0.22763089526500732,0.36304616928100586,6
kodim14.png,2076603,465782,0.22429997452570377,0.5867328643798828,7
kodim14.png,2076603,468579,0.22564688580340103,1.5410842895507812,8
kodim14.png,2076603,466428,0.2246110595043925,9.332163572311401,9
kodim24.png,2119191,570541,0.2692258508081622,0.0245816707611084,1
kodim24.png,2119191,538767,0.2542323933991792,0.026832103729248047,2
kodim24.png,2119191,483067,0.2279487785669154,0.031867027282714844,3
kodim24.png,2119191,475406,0.22433371980156577,0.3153517246246338,4
kodim24.png,2119191,468605,0.22112447627420087,0.36826348304748535,5
kodim24.png,2119191,458701,0.21645099474280516,0.3812546730041504,6
kodim24.png,2119191,450366,0.21251789008163965,0.598858118057251,7
kodim24.png,2119191,451380,0.2129963745599146,1.601038932800293,8
kodim24.png,2119191,443250,0.20916000492640824,9.55372667312622,9
kodim05.png,2356830,618203,0.262302754123123,0.024632930755615234,1
kodim05.png,2356830,589776,0.25024121383383613,0.027985811233520508,2
kodim05.png,2356830,517870,0.2197315886169134,0.03468728065490723,3
kodim05.png,2356830,517174,0.2194362766936945,0.32631993293762207,4
kodim05.png,2356830,515142,0.2185741016534922,0.3938567638397217,5
kodim05.png,2356830,506560,0.21493276986460627,0.396251916885376,6
kodim05.png,2356830,501617,0.21283546119151572,0.6119623184204102,7
kodim05.png,2356830,502840,0.21335437855085007,1.6024456024169922,8
kodim05.png,2356830,501363,0.21272768931149044,11.270546197891235,9
kodim06.png,1856877,555795,0.2993170791603321,0.02301812171936035,1
kodim06.png,1856877,516599,0.2782085189272095,0.024921655654907227,2
kodim06.png,1856877,475937,0.2563104610590793,0.03403043746948242,3
kodim06.png,1856877,466772,0.251374754493701,0.26201653480529785,4
kodim06.png,1856877,450151,0.24242370388561008,0.29902124404907227,5
kodim06.png,1856877,437742,0.2357409779969271,0.3189666271209717,6
kodim06.png,1856877,432985,0.23317914972289494,0.5121674537658691,7
kodim06.png,1856877,431815,0.2325490595230594,1.4341061115264893,8
kodim06.png,1856877,424395,0.228553102871111,7.735471487045288,9
kodim07.png,1698966,470525,0.2769478612285355,0.02504444122314453,1
kodim07.png,1698966,455105,0.2678717525836303,0.02896881103515625,2
kodim07.png,1698966,402695,0.23702357787030465,0.0373387336730957,3
kodim07.png,1698966,393407,0.23155672332465746,0.24469590187072754,4
kodim07.png,1698966,389244,0.229106409427852,0.2796492576599121,5
kodim07.png,1698966,375606,0.2210791740387977,0.2917962074279785,6
kodim07.png,1698966,363571,0.21399545370537137,0.5023453235626221,7
kodim07.png,1698966,362790,0.21353576234015278,1.5806384086608887,8
kodim07.png,1698966,358193,0.21082999895230392,8.505716800689697,9
kodim21.png,1911153,555497,0.2906606640075389,0.024323225021362305,1
kodim21.png,1911153,523195,0.27375882516993666,0.025573015213012695,2
kodim21.png,1911153,482821,0.252633357978142,0.031071901321411133,3
kodim21.png,1911153,473384,0.2476955010927958,0.27307891845703125,4
kodim21.png,1911153,461529,0.2414924393808345,0.2999446392059326,5
kodim21.png,1911153,452402,0.23671678824249026,0.3263123035430908,6
kodim21.png,1911153,447827,0.23432294536334872,0.5204412937164307,7
kodim21.png,1911153,449958,0.23543797906290076,1.5531015396118164,8
kodim21.png,1911153,444343,0.232499962064785,7.69907546043396,9
